id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,income_poverty_ratio_estimate,income_poverty_se
100001600143,0.117962466487936,0.445283018867925,0.346494762288477,42820.0,20.4334554334554,0.0669014084507042,2016-2017,DE,19804,Regular School,High,Yes,0.3801254735375685,-0.7744754384001046,-1.4669831425271342,258,92
100008000024,0.0639844886088221,0.66276459268762,0.767619047619048,89320.0,19.4981684981685,0.112412177985948,2016-2017,DE,19709,Regular School,High,No,-0.5739359337084896,0.5442798961371138,-1.2726886800245762,527,90
100008000225,0.0564599930723935,0.701864406779661,0.713090418353576,84140.0,19.5543345543346,0.096816114359974,2016-2017,DE,19709,Regular School,High,No,-0.7069314826780908,0.7813716529589648,-1.3392713555167515,399,119
100017000029,0.0447385003150599,0.69206204379562,0.64128256513026,56500.0,17.7374847374847,0.296960249415433,2016-2017,DE,19958,Regular School,High,No,-0.9141090079297972,0.7219325094525294,-0.4848165189856851,397,81
100018000040,0.0770135214579659,0.640060240963855,0.834401709401709,54015.0,18.2454212454212,0.262641138929799,2016-2017,DE,19934,Regular School,High,No,-0.34364762163151785,0.40660623290646436,-0.6313315789037207,281,93
100019000050,0.0801201802704056,0.673491975650249,0.483333333333333,50649.0,17.034188034188,0.425117924528302,2016-2017,DE,19904,Regular School,High,No,-0.2887373898131369,0.6093281356689795,0.06231390433860918,271,79
100020000238,0.0750577367205543,0.750750750750751,0.5156851331963949,12825.0,18.3870573870574,0.338928340865074,2016-2017,DE,19711,Regular School,High,No,-0.37821614035269213,1.0778065451919272,-0.3056464488300581,217,69
100020000239,0.0754244364041191,0.616605270614905,0.595445411922304,59861.0,15.5445665445665,0.372116349047141,2016-2017,DE,19702,Regular School,High,No,-0.3717347190419118,0.26438100101286915,-0.16396028801329476,380,102
100020000240,0.114201183431953,0.594220349187237,0.672058823529412,62078.0,14.980463980464,0.352800953516091,2016-2017,DE,19713,Regular School,High,No,0.31364475035304146,0.12864428535709738,-0.2464215258929011,338,36
100023000209,0.0399305555555556,0.54045643153527,0.840810419681621,61031.0,15.1050061050061,0.35893918609968,2016-2017,DE,19720,Regular School,High,No,-0.9990894892936405,-0.1973670266078079,-0.22021619883024743,225,93
